Date,Open,High,Low,Close
"2018-06-28 02:04:00",6131.7,6135.4,6131.7,6135.3
"2018-06-28 02:05:00",6134.1,6135.3,6132,6132
"2018-06-28 02:06:00",6135.4,6135.7,6135.2,6135.7
"2018-06-28 02:07:00",6135.7,6140,6135.7,6140
"2018-06-28 02:08:00",6140,6142,6140,6142
"2018-06-28 02:09:00",6142,6142,6140.9,6140.9
"2018-06-28 02:10:00",6142,6144.6,6141.9,6144.4
"2018-06-28 02:11:00",6144.4,6144.5,6144.4,6144.4
"2018-06-28 02:12:00",6144.5,6146,6140.9,6144.5
"2018-06-28 02:13:00",6144.5,6147.2,6144.5,6146.9
"2018-06-28 02:14:00",6147.1,6147.4,6146.9,6147.4
"2018-06-28 02:15:00",6147.7,6149.9,6147.6,6147.7
"2018-06-28 02:16:00",6147.4,6147.4,6142.3,6142.3
"2018-06-28 02:17:00",6145.3,6145.3,6140.3,6140.3
"2018-06-28 02:18:00",6140.8,6142,6137.7,6137.7
"2018-06-28 02:19:00",6135.4,6137.4,6134.3,6137.4
"2018-06-28 02:20:00",6135.7,6135.7,6134.3,6134.4
"2018-06-28 02:21:00",6136,6136,6134.3,6134.3
"2018-06-28 02:22:00",6135.7,6137.3,6133.6,6136.4
"2018-06-28 02:23:00",6136.4,6136.9,6136.4,6136.9
"2018-06-28 02:24:00",6136.9,6140,6136.9,6140
"2018-06-28 02:25:00",6138.9,6140,6138.9,6140
"2018-06-28 02:26:00",6140,6140,6139.9,6139.9
"2018-06-28 02:27:00",6140,6140,6137.8,6137.8
"2018-06-28 02:28:00",6137.3,6137.4,6135.7,6136.1
"2018-06-28 02:29:00",6132.6,6132.6,6132.6,6132.6
"2018-06-28 02:30:00",6135,6135,6132.4,6132.4
"2018-06-28 02:31:00",6133.4,6133.4,6132.3,6132.7
"2018-06-28 02:32:00",6133,6133,6127.4,6127.6
"2018-06-28 02:33:00",6127.6,6130.3,6127.6,6130.3
"2018-06-28 02:34:00",6133,6133,6127.8,6132.5
"2018-06-28 02:35:00",6132.5,6132.5,6132.5,6132.5
"2018-06-28 02:36:00",6133,6133,6129.9,6133
"2018-06-28 02:37:00",6132.6,6132.6,6132.6,6132.6
"2018-06-28 02:38:00",6126.4,6126.4,6126.4,6126.4
"2018-06-28 02:39:00",6132.9,6132.9,6132,6132.1
"2018-06-28 02:40:00",6132,6132,6130,6130.04743723
"2018-06-28 02:41:00",6130,6130.1,6125.6,6130.1
"2018-06-28 02:42:00",6130,6130.1,6124,6130
"2018-06-28 02:43:00",6126,6130,6126,6130
"2018-06-28 02:44:00",6130,6130.1,6123.2,6130
"2018-06-28 02:45:00",6130,6130,6121,6121
"2018-06-28 02:46:00",6121,6124.7,6117.2,6122.87400208
"2018-06-28 02:47:00",6121.1,6122.6,6113,6119.7
"2018-06-28 02:48:00",6119.8,6120.5,6113,6118.8
"2018-06-28 02:49:00",6118.7,6118.9,6113,6118.9
"2018-06-28 02:50:00",6117.9,6117.9,6117.8,6117.8
"2018-06-28 02:51:00",6113.8,6121,6111,6121
"2018-06-28 02:52:00",6122.3,6122.3,6112.9,6122.3
"2018-06-28 02:53:00",6122.3,6122.3,6113,6121.3
"2018-06-28 02:54:00",6121.3,6121.3,6121.2,6121.2
"2018-06-28 02:55:00",6121.2,6121.23989243,6112.9,6118.6
"2018-06-28 02:56:00",6118.6,6118.6,6113,6117.7
"2018-06-28 02:57:00",6117.3,6117.4,6113,6115.9
