Date,Open,High,Low,Close
"2018-07-12 01:22:00",6356,6356,6355.7,6355.7
"2018-07-12 01:23:00",6357.4,6357.4,6357.4,6357.4
"2018-07-12 01:25:00",6355.3,6355.3,6355.3,6355.3
"2018-07-12 01:26:00",6352.3,6353.7,6352.3,6353.7
"2018-07-12 01:27:00",6353.7,6358.5,6353.7,6355.4
"2018-07-12 01:28:00",6357.2,6357.2,6355.3,6355.3
"2018-07-12 01:29:00",6356,6356,6356,6356
"2018-07-12 01:30:00",6355.3,6355.3,6355.3,6355.3
"2018-07-12 01:34:00",6353.5,6353.5,6353.5,6353.5
"2018-07-12 01:35:00",6353.5,6353.5,6353.5,6353.5
"2018-07-12 01:38:00",6353.1,6353.1,6353.1,6353.1
"2018-07-12 01:39:00",6353.1,6353.4,6353.1,6353.4
"2018-07-12 01:40:00",6355.2,6355.2,6355.2,6355.2
"2018-07-12 01:42:00",6355.3,6355.3,6355.2,6355.2
"2018-07-12 01:43:00",6355.4,6355.4,6355.2,6355.2
"2018-07-12 01:44:00",6355.9,6355.9,6355.2,6355.2
"2018-07-12 01:45:00",6354.8,6354.8,6354.8,6354.8
"2018-07-12 01:48:00",6353,6353,6351,6351
"2018-07-12 01:49:00",6340,6347.7,6340,6347.7
"2018-07-12 01:50:00",6345.4,6345.4,6342.9,6342.9
"2018-07-12 01:51:00",6342.9,6342.9,6341.4,6341.4
"2018-07-12 01:52:00",6342.8,6342.8,6342.8,6342.8
"2018-07-12 01:53:00",6344.9,6344.9,6344.9,6344.9
"2018-07-12 01:54:00",6339.9,6339.9,6339.5,6339.5
"2018-07-12 01:55:00",6339.5,6339.5,6339.5,6339.5
"2018-07-12 01:56:00",6339.5,6339.5,6335.1,6335.1
"2018-07-12 01:57:00",6330.8,6332.2,6328.9,6328.9
"2018-07-12 01:58:00",6329,6329,6329,6329
"2018-07-12 01:59:00",6328.8,6328.8,6328.8,6328.8
"2018-07-12 02:00:00",6326.2,6326.2,6323.6,6323.6
"2018-07-12 02:01:00",6324.2,6324.2,6318,6318
"2018-07-12 02:02:00",6306.6,6313,6306.6,6313
"2018-07-12 02:03:00",6313,6323.1,6313,6322.5
"2018-07-12 02:04:00",6325.1,6325.1,6319.2,6319.2
"2018-07-12 02:05:00",6321.6,6321.6,6321.6,6321.6
"2018-07-12 02:06:00",6324.8,6328.7,6324.8,6328.7
"2018-07-12 02:07:00",6333.6,6339.5,6333.6,6339.5
"2018-07-12 02:08:00",6341.3,6344.6,6341.3,6344.6
"2018-07-12 02:09:00",6344.6,6344.6,6344.6,6344.6
"2018-07-12 02:10:00",6343.4,6343.4,6343.4,6343.4
"2018-07-12 02:11:00",6342.2,6342.2,6342.2,6342.2
"2018-07-12 02:12:00",6341.4,6341.4,6335.3,6335.3
"2018-07-12 02:13:00",6332.8,6332.8,6332.8,6332.8
"2018-07-12 02:14:00",6333.2,6333.2,6333.2,6333.2
"2018-07-12 02:15:00",6333.2,6333.2,6333.2,6333.2
"2018-07-12 02:16:00",6333.2,6335.2,6333.2,6335.2
"2018-07-12 02:18:00",6337.7,6340,6337.7,6340
"2018-07-12 02:19:00",6335.3,6335.3,6335.3,6335.3
"2018-07-12 02:20:00",6335.9,6335.9,6335.9,6335.9
"2018-07-12 02:21:00",6332.8,6332.8,6332.8,6332.8
"2018-07-12 02:22:00",6335.8,6335.8,6335.8,6335.8
"2018-07-12 02:23:00",6335.3,6335.3,6335.3,6335.3
"2018-07-12 02:24:00",6331.9,6331.9,6331.9,6331.9
"2018-07-12 02:25:00",6328.8,6328.8,6321.4,6321.4
"2018-07-12 02:26:00",6322.1,6322.1,6322.1,6322.1
"2018-07-12 02:27:00",6319.2,6319.2,6319.2,6319.2
"2018-07-12 02:28:00",6317.1,6317.1,6316.9,6316.9
"2018-07-12 02:29:00",6315,6315,6314.2,6314.2
"2018-07-12 02:30:00",6314.4,6319.1,6314.4,6319.1
"2018-07-12 02:31:00",6315.8,6315.8,6315.5,6315.5
"2018-07-12 02:32:00",6309.7,6311.4,6309,6311.4
"2018-07-12 02:33:00",6308.4,6308.4,6308.3,6308.3
"2018-07-12 02:34:00",6308.5,6310.7,6308.5,6310.7
"2018-07-12 02:35:00",6315.2,6320.9,6315.2,6320.9
"2018-07-12 02:36:00",6316,6316,6316,6316
"2018-07-12 02:37:00",6317.5,6317.5,6317.5,6317.5
"2018-07-12 02:40:00",6316,6316,6316,6316
"2018-07-12 02:42:00",6314.2,6315.4,6314.2,6315.4
"2018-07-12 02:43:00",6316,6316,6316,6316
"2018-07-12 02:46:00",6316,6316,6316,6316
"2018-07-12 02:47:00",6327.5,6331.7,6327.5,6331.7
"2018-07-12 02:48:00",6332.3,6332.3,6332.3,6332.3
"2018-07-12 02:49:00",6332,6332,6332,6332
"2018-07-12 02:50:00",6329.9,6332.4,6329.9,6332.4
"2018-07-12 02:51:00",6330.7,6330.7,6330.7,6330.7
"2018-07-12 02:52:00",6329.7,6329.7,6329.7,6329.7
"2018-07-12 02:55:00",6324,6324,6324,6324
"2018-07-12 03:02:00",6324,6324,6322.6,6322.6
"2018-07-12 03:03:00",6324,6324,6324,6324
"2018-07-12 03:11:00",6331,6331,6331,6331
"2018-07-12 03:13:00",6332.4,6332.4,6332.4,6332.4
"2018-07-12 03:17:00",6332.3,6332.3,6332.3,6332.3
"2018-07-12 03:18:00",6332.3,6332.3,6331,6331
"2018-07-12 03:19:00",6330.9,6330.9,6328.8,6328.8
"2018-07-12 03:20:00",6328.7,6330.2,6328.7,6330.2
"2018-07-12 03:21:00",6328.7,6328.7,6328.7,6328.7
"2018-07-12 03:22:00",6328.3,6328.4,6324.9,6324.9
"2018-07-12 03:23:00",6324.9,6324.9,6324.9,6324.9
"2018-07-12 03:25:00",6339,6339,6339,6339
"2018-07-12 03:26:00",6337.9,6337.9,6335.9,6335.9
"2018-07-12 03:27:00",6335.8,6335.8,6334.1,6334.1
"2018-07-12 03:28:00",6332.8,6332.8,6332.8,6332.8
"2018-07-12 03:29:00",6331,6331,6331,6331
"2018-07-12 03:30:00",6333.7,6333.7,6333.7,6333.7
"2018-07-12 03:31:00",6333,6333,6333,6333
"2018-07-12 03:37:00",6336.8,6336.8,6336.8,6336.8
"2018-07-12 03:39:00",6334.5,6334.5,6334.5,6334.5
"2018-07-12 03:44:00",6335.3,6335.3,6335.3,6335.3
"2018-07-12 03:45:00",6332.7,6335.3,6332.7,6335.3
"2018-07-12 03:47:00",6335.9,6335.9,6335.9,6335.9
"2018-07-12 03:48:00",6338.2,6338.2,6338.2,6338.2
