Date,Open,High,Low,Close
"2018-08-02 02:44:00",7668.4,7668.4,7663.3,7663.3
"2018-08-02 02:45:00",7662.5,7662.5,7659.4,7659.4
"2018-08-02 02:46:00",7659.3,7659.3,7657,7657
"2018-08-02 02:47:00",7656.7,7656.7,7656.7,7656.7
"2018-08-02 02:48:00",7654.3,7656.5,7654.3,7656.4
"2018-08-02 02:49:00",7657.9,7659.7,7657.9,7659.7
"2018-08-02 02:50:00",7664,7665.6,7664,7665.6
"2018-08-02 02:51:00",7665.6,7665.6,7664.7,7664.7
"2018-08-02 02:52:00",7664.2,7665.4,7664.2,7665.4
"2018-08-02 02:53:00",7665.4,7665.4,7665.4,7665.4
"2018-08-02 03:00:00",7674.1,7674.1,7670.1,7670.1
"2018-08-02 03:01:00",7670.1,7670.5,7670,7670
"2018-08-02 03:02:00",7670.1,7670.1,7670.1,7670.1
"2018-08-02 03:05:00",7670,7670,7669.3,7669.3
"2018-08-02 03:06:00",7669.2,7669.2,7664.2,7664.2
"2018-08-02 03:07:00",7664.1,7664.1,7664.1,7664.1
"2018-08-02 03:09:00",7661.7,7661.7,7661.6,7661.6
"2018-08-02 03:10:00",7661,7661,7650,7650
"2018-08-02 03:11:00",7650.1,7650.7,7650,7650
"2018-08-02 03:12:00",7645.1,7648.8,7645.1,7648.8
"2018-08-02 03:13:00",7646.7,7646.7,7646.7,7646.7
"2018-08-02 03:15:00",7645.9,7645.9,7645.9,7645.9
"2018-08-02 03:16:00",7645.2,7649,7645.2,7649
"2018-08-02 03:17:00",7646.4,7646.4,7646.4,7646.4
"2018-08-02 03:19:00",7646.2,7646.2,7646.1,7646.1
"2018-08-02 03:20:00",7645.6,7645.6,7645.6,7645.6
"2018-08-02 03:23:00",7645.4,7645.4,7642.8,7642.8
"2018-08-02 03:24:00",7641.6,7641.6,7640.7,7640.7
"2018-08-02 03:25:00",7639.9,7639.9,7639,7639
"2018-08-02 03:26:00",7639.4,7639.4,7639.4,7639.4
"2018-08-02 03:28:00",7639,7639,7631.4,7631.4
"2018-08-02 03:29:00",7635,7635,7635,7635
"2018-08-02 03:31:00",7635,7639.2,7635,7639.2
"2018-08-02 03:32:00",7639.2,7640,7639.2,7640
"2018-08-02 03:34:00",7639.7,7639.7,7639.7,7639.7
"2018-08-02 03:36:00",7639.8,7639.8,7639.2,7639.2
"2018-08-02 03:37:00",7639.1,7639.1,7639.1,7639.1
"2018-08-02 03:40:00",7636.1,7636.1,7636,7636
"2018-08-02 03:43:00",7635.7,7636.5,7635.7,7636.5
"2018-08-02 03:44:00",7637,7637,7637,7637
"2018-08-02 03:46:00",7637.7,7637.7,7637.7,7637.7
"2018-08-02 03:47:00",7642.7,7642.7,7642.7,7642.7
"2018-08-02 03:48:00",7642.7,7642.7,7642.7,7642.7
"2018-08-02 03:49:00",7643,7643,7643,7643
"2018-08-02 03:52:00",7643.6,7643.6,7643.2,7643.2
"2018-08-02 03:54:00",7643.3,7643.3,7643.3,7643.3
"2018-08-02 03:55:00",7643.3,7643.3,7643.2,7643.3
"2018-08-02 03:56:00",7643.3,7643.3,7643.2,7643.2
"2018-08-02 03:57:00",7643.3,7643.3,7643.2,7643.2
"2018-08-02 03:59:00",7643.3,7643.3,7643.3,7643.3
"2018-08-02 04:00:00",7642.7,7642.7,7642.7,7642.7
"2018-08-02 04:01:00",7641.6,7641.6,7641.6,7641.6
"2018-08-02 04:02:00",7641,7641,7640.2,7640.2
"2018-08-02 04:06:00",7639.2,7639.2,7639.2,7639.2
"2018-08-02 04:07:00",7640,7640,7640,7640
"2018-08-02 04:08:00",7640.2,7640.2,7640.2,7640.2
"2018-08-02 04:09:00",7642.5,7643.8,7640.2,7643.8
"2018-08-02 04:10:00",7643.3,7643.3,7643.3,7643.3
"2018-08-02 04:11:00",7643.3,7644.1,7643.3,7644.1
"2018-08-02 04:12:00",7644,7644,7644,7644
"2018-08-02 04:15:00",7643.6,7643.6,7643.6,7643.6
"2018-08-02 04:17:00",7643.2,7643.2,7643.2,7643.2
"2018-08-02 04:18:00",7643.5,7643.5,7643.5,7643.5
"2018-08-02 04:19:00",7643.5,7643.5,7643.4,7643.4
